Date,Average Views
01/01/2018,37
01/02/2018,615
01/03/2018,8217
01/04/2018,8345
01/05/2018,10001
01/06/2018,8144
01/07/2018,10347
01/08/2018,7022
01/09/2018,4564
01/10/2018,13129
01/11/2018,26233
01/12/2018,10335
01/01/2019,18850
01/02/2019,14495
01/03/2019,16438
01/04/2019,8445
01/05/2019,17841
01/06/2019,7568
01/07/2019,19380
01/08/2019,9845
